S.No,Sector,Portal Name,Portal URL,Status
25,Agriculture & Cooperation,"Agriculture Development and Farmer Welfare and Bio-Technology Department, Chhattisgarh",https://agriportal.cg.nic.in/,Connection Failed
26,Agriculture & Cooperation,"Agriculture Info Management System, Kerala",https://www.aims.kerala.gov.in/,Error (403)
27,Agriculture & Cooperation,Agriculture Marketing Information System Network (AGMARKNET),https://agmarknet.gov.in/,Working
28,Agriculture & Cooperation,"Agriculture Produce Procurement Portal, Himachal Pradesh",https://hpappp.nic.in/,Dead (404)
29,Agriculture & Cooperation,"Agriculture Production &amp; Farmers Welfare Department, Jammu and Kashmir",https://agriculture.jk.gov.in/,Working
30,Agriculture & Cooperation,"Agriculture Secretariat, Karnataka",https://agriculture.karnataka.gov.in/,Working
31,Agriculture & Cooperation,"Agriculture and Horticulture Department, Assam",https://agri-horti.assam.gov.in/,Working
32,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
33,Agriculture & Cooperation,Assam Rajiv Gandhi University of Cooperative Management,https://argucom.assam.gov.in/,Working
34,Agriculture & Cooperation,"Assam Rural Infrastructure and Agricultural Services Society, (ARIAS)",https://arias.in/,Working
35,Agriculture & Cooperation,Assam Small Farmers Agri-Business Consortium (ASFAC),https://asfac.assam.gov.in/,Working
36,Agriculture & Cooperation,Bihar State Election Authority (BSEA),https://bsea.bihar.gov.in/,Working
37,Agriculture & Cooperation,"Biju Swasthya Kalyan Yojana, Odisha",https://bsky.odisha.gov.in/,Connection Failed
38,Agriculture & Cooperation,"COMPOSE - Comprehensive Operations and Management of Presses Over Secure Environment, Kerala",https://compose.kerala.gov.in/,Error (403)
39,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
40,Agriculture & Cooperation,"Cane Care Software, Bihar",https://ccs.bihar.gov.in/,Working
41,Agriculture & Cooperation,"Central Agricultural University, Imphal",https://cau.ac.in/,Working
42,Agriculture & Cooperation,"Central Farm Machinery Training and Testing Institute (FMTTI), Budni",https://fmttibudni.gov.in/,Connection Failed
43,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
44,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
45,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
46,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
47,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
48,Agriculture & Cooperation,"Co-operation Department, Andhra Pradesh",https://cooperation.ap.gov.in/,Working
49,Agriculture & Cooperation,"Co-operation Department, Haryana",https://rcsharyana.gov.in/,Connection Failed
50,Agriculture & Cooperation,Coconut Development Board,https://coconutboard.gov.in/,Working
51,Agriculture & Cooperation,"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology Udaipur, Rajasthan",https://www.ctae.ac.in/,Working
52,Agriculture & Cooperation,"Command Area Development, Jammu, Jammu and Kashmir",https://cadjmu.nic.in/,Connection Failed
53,Agriculture & Cooperation,Commission for Agricultural Costs and Prices (CACP),https://cacp.da.gov.in/,Working
54,Agriculture & Cooperation,"Commissioner of Fisheries, Gujarat",https://www.cof.gujarat.gov.in/,Connection Failed
55,Agriculture & Cooperation,"Crop Loan Waiver System, Karnataka",https://clws.karnataka.gov.in/,Working
56,Agriculture & Cooperation,"Crop Pests &amp; Diseases Surveillance and Advisory Portal (CROPSAP), Meghalaya",https://cropsap.megfarmer.gov.in/,Working
57,Agriculture & Cooperation,D-Krishi - Aadhaar Enabled Seed Distribution System of Andhra Pradesh,https://eseed.ap.gov.in/,Working
58,Agriculture & Cooperation,"Department of Agriculture and Farmers Welfare Kashmir, Jammu and Kashmir",https://diragrikmr.nic.in/,Connection Failed
59,Agriculture & Cooperation,Digital Platform for Farm Mechanization and Technology,https://agrimachinery.nic.in/,Working
60,Agriculture & Cooperation,"Direct Benefit Transfer (DBT), Agriculture Department, Bihar",https://dbtagriculture.bihar.gov.in/,Working
61,Agriculture & Cooperation,Direct Benefit Transfer Portal for Agriculture Schemes,https://dbtdacfw.gov.in/,Working
62,Agriculture & Cooperation,"Directorate of Agricultural Marketing and Agriculture Foreign Trade, Uttar Pradesh",https://www.upkrishivipran.in/,Working
63,Agriculture & Cooperation,"Directorate of Agricultural Marketing, Delhi",https://damb.delhi.gov.in/,Working
64,Agriculture & Cooperation,"Directorate of Agriculture (Research and Education), Mizoram",https://agriculture.mizoram.gov.in/,Timeout
65,Agriculture & Cooperation,"Directorate of Agriculture Production &amp; Farmers Welfare, Jammu, Jammu and Kashmir",https://diragrijmu.nic.in/,Connection Failed
66,Agriculture & Cooperation,"Directorate of Agriculture, Gujarat",https://dag.gujarat.gov.in/index.htm,Dead (404)
67,Agriculture & Cooperation,"Directorate of Agriculture, Gujarat",https://dag.gujarat.gov.in/,Working
68,Agriculture & Cooperation,"Directorate of Animal Husbandry, Gujarat",https://doah.gujarat.gov.in/,Working
69,Agriculture & Cooperation,Directorate of Arecanut and Spices Development (DSAD),https://www.dasd.gov.in/,Connection Failed
70,Agriculture & Cooperation,Directorate of Cashewnut and Cocoa Development (DCCD),https://www.dccd.gov.in/,Connection Failed
71,Agriculture & Cooperation,Directorate of Economics and Statistics (DES),https://desagri.gov.in/,Timeout
72,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
73,Agriculture & Cooperation,"Directorate of Horticulture &amp; Soil Conservation, Tripura",https://horti.tripura.gov.in/,Working
74,Agriculture & Cooperation,"Directorate of Horticulture, Chhattisgarh",https://cghorticulture.gov.in/,Working
75,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
76,Agriculture & Cooperation,Directorate of Jute Development,https://jute.dac.gov.in/,Working
77,Agriculture & Cooperation,Directorate of Marketing and Inspection (DMI),https://dmi.gov.in/,Dead (404)
78,Agriculture & Cooperation,"Directorate of Mushroom Research, Solan, Himachal Pradesh",https://dmrsolan.icar.gov.in/,Connection Failed
79,Agriculture & Cooperation,"Directorate of Onion and Garlic Research, Pune, Maharashtra",https://dogr.icar.gov.in/,Connection Failed
80,Agriculture & Cooperation,Directorate of Plant Protection Quarantine and Storage,https://ppqs.gov.in/,Working
81,Agriculture & Cooperation,Directorate of Pulses Development,https://dpd.gov.in/,Connection Failed
82,Agriculture & Cooperation,"Directorate of Rice Development, Patna",https://drdpat.bih.nic.in/,Timeout
83,Agriculture & Cooperation,"Directorate of Silk, Maharashtra",https://mahasilk.maharashtra.gov.in/,Working
84,Agriculture & Cooperation,"Directorate of Soil Conservation and Watershed Development, Odisha",https://www.soilodisha.nic.in/,Server Error
85,Agriculture & Cooperation,"Farm Information Bureau, Kerala",https://www.fibkerala.gov.in/,Working
86,Agriculture & Cooperation,"Farmer Procurement Portal, Gujarat",https://fpp.gujarat.gov.in/,Connection Failed
87,Agriculture & Cooperation,"Farmer Registration and Unified beneficiary Information System, Karnataka",https://fruits.karnataka.gov.in/,Working
88,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
89,Agriculture & Cooperation,"Free Seedling Distribution, Delhi",https://dillifreetree.eforest.delhi.gov.in/,Dead (404)
90,Agriculture & Cooperation,"Govind Ballabh Pant University of Agriculture &amp; Technology, Uttarakhand",https://gbpuat.ac.in/,Working
91,Agriculture & Cooperation,"Gujarat Sheep &amp; Wool Development Corporation Limited, Gujarat",https://gusheel.gujarat.gov.in/,Connection Failed
92,Agriculture & Cooperation,"Gujarat State Co-Operative Tribunal, Gujarat",https://gscot.gujarat.gov.in/,Connection Failed
93,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
94,Agriculture & Cooperation,"Gujarat State Warehousing Corporation, Gujarat",https://gswc.gujarat.gov.in/index.htm,Dead (404)
95,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
96,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
97,Agriculture & Cooperation,"Haryana Seed Portal, Haryana",https://uttambeej.haryana.gov.in/,Connection Failed
98,Agriculture & Cooperation,"Haryana State Seed Certification Agency (HSSCA), Haryana",https://hssca.org.in/,Working
99,Agriculture & Cooperation,"Himachal Pradesh Horticulture Produce Marketing and Processing Corporation Ltd. (HPMC), Himachal Pradesh",https://hpmc.in/,Working
100,Agriculture & Cooperation,"Himachal Pradesh State Co-operative Marketing &amp; Consumers Federation Ltd., Himachal Pradesh",https://www.himfed.com/,Working
101,Agriculture & Cooperation,"Holistic Agriculture Development Program, Jammu and Kashmir",https://hadp.jk.gov.in/,Dead (404)
102,Agriculture & Cooperation,"Horticulture Department, Haryana",https://hortnet.hortharyana.gov.in/,Working
103,Agriculture & Cooperation,"Horticulture Department, Himachal Pradesh",https://eudyan.hp.gov.in/,Working
104,Agriculture & Cooperation,"Horticulture Department, Jammu and Kashmir",https://horticulture.jk.gov.in/,Working
105,Agriculture & Cooperation,"Horticulture Department, Telangana",https://horticulture.tg.nic.in/,Working
106,Agriculture & Cooperation,"Horticulture Directorate, Agriculture Department, Bihar",https://horticulture.bihar.gov.in/,Error (401)
107,Agriculture & Cooperation,"Hydrology Project, Chhattisgarh",https://hydrologyproject.cg.gov.in/,Timeout
108,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
109,Agriculture & Cooperation,"ICAR - Indian Institute of Farming Systems Research (IIFSR), Meerut",https://iifsr.icar.gov.in/,Connection Failed
110,Agriculture & Cooperation,"ICAR - Indian Institute of Seed Science, Mau, Uttar Pradesh",https://seedres.icar.gov.in/,Connection Failed
111,Agriculture & Cooperation,"ICAR - National Bureau of Agricultural Insect Resources (NBAIR), Bangalore",https://www.nbair.res.in/,Working
112,Agriculture & Cooperation,"ICAR - National Institute Of Veterinary Epidemiology And Disease Informatics, Bangalore,",https://www.nivedi.res.in/,Working
113,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
114,Agriculture & Cooperation,"ICAR Agricultural Technology Application Research Institute (ICAR-ATARI), Bangalore",https://ataribengaluru.icar.gov.in/,Connection Failed
115,Agriculture & Cooperation,"ICAR Research Complex for Eastern Region (ICAR-RCER), Patna",https://icarrcer.icar.gov.in/,Connection Failed
116,Agriculture & Cooperation,"ICAR-ATARI Zone IX, Jabalpur, Madhya Pradesh",https://atarijabalpur.icar.gov.in/,Connection Failed
117,Agriculture & Cooperation,"ICAR-Agricultural Technology Application Research Institute (ATARI), Hyderabad",https://atari-hyderabad.icar.gov.in/,Connection Failed
118,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
119,Agriculture & Cooperation,"ICAR-Central Tobacco Research Institute, Rajahmundry",https://ctri.icar.gov.in/,Connection Failed
120,Agriculture & Cooperation,ICAR-Indian Agricultural Statistics Research Institute,https://www.iasri.res.in/,Dead (404)
121,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
122,Agriculture & Cooperation,"ICAR-Indian Institute of Water Management, Bhubaneswar, Odisha",https://iiwm.icar.gov.in/,Connection Failed
123,Agriculture & Cooperation,(Error: Message: no such element: Unab),(Error),Extraction Error
124,Agriculture & Cooperation,"ICAR-National Institute of Aboitic Stress Management, Malegaon",https://niasm.icar.gov.in/,Connection Failed
125,Agriculture & Cooperation,"ICAR-National Research Centre for Banana, Tiruchirapalli",https://nrcb.icar.gov.in/,Connection Failed
126,Animal Husbandry & Fishing,"Agriculture, Animal Husbandry and Cooperative Department, Jharkhand",https://agri.jharkhand.gov.in/,Working
127,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
128,Animal Husbandry & Fishing,"Animal Husbandary Department, Chhattisgarh",https://agriportal.cg.nic.in/ahd,Connection Failed
129,Animal Husbandry & Fishing,"Animal Husbandry &amp; Veterinary Services Department, Goa",https://www.ahvs.goa.gov.in/,Working
130,Animal Husbandry & Fishing,Animal Husbandry Infrastructure Development Fund (AHIDF),https://ahidf.udyamimitra.in/,Dead (404)
131,Animal Husbandry & Fishing,Animal Quarantine and Certification Service Station (AQCS),https://aqcsindia.gov.in/,Connection Failed
132,Animal Husbandry & Fishing,"Animal,Sheep Husbandry and Fisheries Department, Jammu and Kashmir",https://jkash.nic.in/,Connection Failed
133,Animal Husbandry & Fishing,"Animal/Sheep Husbandry Department, Ladakh",https://ladakh.gov.in/animal-sheep-husbandry,Working
134,Animal Husbandry & Fishing,"Assam Livestock Development Agency, Assam",https://livestock.assam.gov.in/,Working
135,Animal Husbandry & Fishing,Bihar Animal Sciences University (BASU),https://www.basu.org.in/,Working
136,Animal Husbandry & Fishing,"Central Institute of Coastal Engineering for Fishery, Bangalore",https://cicef.gov.in/,Connection Failed
137,Animal Husbandry & Fishing,Central Institute of Fisheries Nautical and Engineering Training,https://cifnet.gov.in/,Connection Failed
138,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
139,Animal Husbandry & Fishing,"Central Sheep Breeding Farm, Hisar",https://csbfhsr.com/,Dead (404)
140,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
141,Animal Husbandry & Fishing,Coastal Aquaculture Authority,https://caa.gov.in/,Working
142,Animal Husbandry & Fishing,Committee Control and Supervision of Experiments on Animals,https://ccsea.gov.in/,Error (401)
143,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
144,Animal Husbandry & Fishing,Department of Animal Husbandry and Dairying (DoAHD),https://dahd.gov.in/,Working
145,Animal Husbandry & Fishing,Department of Fisheries (DoF),https://dof.gov.in/,Working
146,Animal Husbandry & Fishing,"Directorate of Coldwater fisheries Research, Uttarakhand",https://www.dcfr.res.in/,Connection Failed
147,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
148,Animal Husbandry & Fishing,"Directorate of Sheep Husbandry Jammu, Jammu and Kashmir",https://sheepjammu.nic.in/,Connection Failed
149,Animal Husbandry & Fishing,"Directorate of Sheep Husbandry Kashmir, Jammu and Kashmir",https://jksheephusbandrykashmir.nic.in/,Connection Failed
150,Animal Husbandry & Fishing,"Fisheries Department, Andhra Pradesh",https://fisheries.ap.gov.in/,Timeout
151,Animal Husbandry & Fishing,"Fisheries Department, Arunachal Pradesh",https://meen.arunachal.gov.in/,Working
152,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
153,Animal Husbandry & Fishing,"Fisheries Department, West Bengal",https://wbfisheries.wb.gov.in/official/index.php,Connection Failed
154,Animal Husbandry & Fishing,"Fishery Survey of India (FSI), Mumbai",https://fsi.gov.in/,Working
155,Animal Husbandry & Fishing,"Gopalan-Dairy (RCDF), Rajasthan",https://sarasmilkfed.rajasthan.gov.in/,Working
156,Animal Husbandry & Fishing,"Gujarat Co - operative Milk Marketing Federation Limited (AMUL), Gujarat",https://amul.com/,Working
157,Animal Husbandry & Fishing,"Gujarat Veterinary Council, Gandhinagar, Gujarat",https://gvc.org.in/,Working
158,Animal Husbandry & Fishing,"Guru Angad Dev Veterinary and Animal Sciences University (GADVASU), Ludhiana Punjab",https://www.gadvasu.in/,Working
159,Animal Husbandry & Fishing,"HP Aquaculture, Fishing and Marketing Society, Himachal Pradesh, India",https://himachal.nic.in/index.php?lang=1&dpt_id=228,Dead (404)
160,Animal Husbandry & Fishing,"Haryana Gau Seva Aayog, Haryana",https://hargauseva.gov.in/,Working
161,Animal Husbandry & Fishing,"Haryana State Biodiversity Board, Haryana",https://sbb.haryanaforest.gov.in/,Working
162,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
163,Animal Husbandry & Fishing,"ICAR-Central Institute of Fisheries Technology (CIFT), Cochin",https://www.cift.res.in/,Working
164,Animal Husbandry & Fishing,ICAR-National Institute of High Security Animal Diseases,https://www.nihsad.nic.in/,Working
165,Animal Husbandry & Fishing,"ICAR-National Research Center on Meat, Hyderabad",https://nrcmeat.icar.gov.in/,Connection Failed
166,Animal Husbandry & Fishing,"Krishi Vigyan Kendra (ICAR), Papum-Pare, Arunachal Pradesh",https://kvkpapumpare.nic.in/,Working
167,Animal Husbandry & Fishing,Ksheerasree Portal,https://ksheerasree.kerala.gov.in/,Working
168,Animal Husbandry & Fishing,"Madhya Pradesh Road Development Corporation Ltd. (MPRDC), Madhya Pradesh",https://mprdc.gov.in/,Error (403)
169,Animal Husbandry & Fishing,"Madhya Pradesh State Cooperative Dairy Federation Limited (MPCDF), Bhopal, Madhya Pradesh",https://sanchidairy.com/,Dead (404)
170,Animal Husbandry & Fishing,"Maharashtra Animal and Fishery Sciences University, Maharashtra",https://www.mafsu.in/,Connection Failed
171,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
172,Animal Husbandry & Fishing,"National Dairy Development Board (NDDB), Anand",https://www.nddb.coop/,Working
173,Animal Husbandry & Fishing,"National Fisheries Development Board (NFDB), Hyderabad",https://nfdb.gov.in/,Working
174,Animal Husbandry & Fishing,National Fisheries Digital Platform (NFDP),https://nfdp.dof.gov.in/,Working
175,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
176,Animal Husbandry & Fishing,"National Institute of Fisheries Post Harvest Technology and Training (NIFPHATT), Kochi",https://nifphatt.gov.in/,Working
177,Animal Husbandry & Fishing,National Livestock Mission,https://nlm.udyamimitra.in/,Dead (404)
178,Animal Husbandry & Fishing,"National Research Center on Camel (NRCC), Bikaner",https://nrccamel.icar.gov.in/,Connection Failed
179,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
180,Animal Husbandry & Fishing,"P.V. Narsimha Rao Telangana Veterinary University, RajendraNagar, Hyderabad, Telangana",https://tsvu.nic.in/,Dead (404)
181,Animal Husbandry & Fishing,"Paschim Banga Go-Sampad Bikash Sanstha (PBGSBS), West Bengal",https://pbgsbs.gov.in/,Connection Failed
182,Animal Husbandry & Fishing,Pradhan Mantri Matsya Kisan Samridhi Sah Yojana (PM-MKSSY),https://pmmkssy.dof.gov.in/,Dead (404)
183,Animal Husbandry & Fishing,"Rajasthan University of Veterinary and Animal Sciences, Bikaner, Rajasthan",https://www.rajuvas.org/,Error (405)
184,Animal Husbandry & Fishing,"Regional Station for Forage Production and Demonstration, Pahadi Sharif",https://rsfpdhyd.nic.in/,Working
185,Animal Husbandry & Fishing,"Sericulture Department, Manipur",https://serimanipur.nic.in/,Working
186,Animal Husbandry & Fishing,"Sri Venkateswara Veterinary University, Tirupati, Andhra Pradesh",https://svvu.edu.in/,Working
187,Animal Husbandry & Fishing,"State Wetland Authority, Haryana",https://swa.haryana.gov.in/,Working
188,Animal Husbandry & Fishing,"System for Easy and Legal Issuance of Fuel Permit and Fuel, Kerala",https://self.kerala.gov.in/,Error (403)
189,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
190,Animal Husbandry & Fishing,"U.P. Pandit Deen Dayal Upadhyaya pashu Chikitsa Vigyan Vishwavidyalaya Evam Go Anusandhan Sansthan (DUVASU), Uttar Pradesh",https://www.upvetuniv.edu.in/,Working
191,Animal Husbandry & Fishing,Veterinary Council of India (VCI),https://vci.dahd.gov.in/,Error (405)
192,Animal Husbandry & Fishing,(Error: Message: no such element: Unab),(Error),Extraction Error
193,Animal Husbandry & Fishing,"Veterinary and Animal Husbandry Department, Telangana",https://vahd.telangana.gov.in/,Working
194,Animal Husbandry & Fishing,"West Bengal Cooperative Milk Producers Federation Ltd., West Bengal",https://www.benmilk.com/,Working
195,Art & Culture,Adopt a Heritage Program,https://indianheritage.gov.in/,Connection Failed
196,Art & Culture,"Allahabad Museum, Prayagraj",https://theallahabadmuseum.com/,Working
197,Art & Culture,(Error: Message: no such element: Unab),(Error),Extraction Error
198,Art & Culture,Archaeological Survey of India (ASI),https://asi.nic.in/,Server Error
199,Art & Culture,"Archaeological Survey of India (ASI), Bhopal",https://asibhopal.nic.in/,Timeout
200,Art & Culture,"Archaeological Survey of India (ASI), Agra Circle",https://asiagracircle.in/,Working
201,Art & Culture,"Archaeological Survey of India (ASI), Chennai Circle",https://asichennai.gov.in/,Working
202,Art & Culture,(Error: Message: no such element: Unab),(Error),Extraction Error
203,Art & Culture,Archaeological Survey of India Jabalpur Circle,https://asijabalpur.gov.in/,Connection Failed
204,Art & Culture,"Archaeological Survey of India, Jaipur Circle",https://asijaipurcircle.nic.in/,Timeout
205,Art & Culture,"Archaeology Department, Kerala",https://www.archaeology.kerala.gov.in/,Working
206,Art & Culture,"Archaeology Department, Tamil Nadu",https://www.tnarch.gov.in/,Error (403)
207,Art & Culture,"Archives Department, Kerala",https://www.keralaarchives.org/,Working
208,Art & Culture,"Art and Culture Department, Tamil Nadu",https://artandculture.tn.gov.in/,Connection Failed
209,Art & Culture,(Error: Message: no such element: Unab),(Error),Extraction Error
210,Art & Culture,Azadi Ka Amrit Mahotsav,https://amritkaal.nic.in/,Working
211,Art & Culture,Bharat Rang Mahotsav,https://www.brm.nsd.gov.in/,Connection Failed
212,Art & Culture,Central Institute of Classical Tamil (CICT),https://www.cict.in/,Working
213,Art & Culture,"Central Institute of Higher Tibetan Studies, Sarnath",https://www.cihts.ac.in/,Working
214,Art & Culture,Central Reference Library,https://www.crlindia.gov.in/,Connection Failed
215,Art & Culture,Chalo India,https://www.chaloindia.gov.in/,Timeout
216,Art & Culture,"Cultural Affairs Department, Assam",https://culturalaffairs.assam.gov.in/,Working
217,Art & Culture,"Culture Department, Ladakh",https://ladakh.gov.in/culture-department,Working
218,Art & Culture,"Delhi Archives Department, Delhi",https://delhiarchives.delhi.gov.in/,Working
219,Art & Culture,Delhi Public Library,https://dpl.gov.in/,Working
220,Art & Culture,(Error: Message: no such element: Unab),(Error),Extraction Error
221,Art & Culture,"Directorate of Archives, Archaeology and Museums, Jammu and Kashmir",https://jkarchives.nic.in/,Connection Failed
222,Art & Culture,"Directorate of Cultural Affairs, Assam",https://directorculture.assam.gov.in/,Working
223,Art & Culture,"Directorate of Culture, Kerala",https://culturedirectorate.kerala.gov.in/,Error (403)
224,Art & Culture,(Error: Message: no such element: Unab),(Error),Extraction Error
225,Art & Culture,Dr. Ambedkar International Centre,https://daic.gov.in/,Working
226,Art & Culture,Ek Bharat Shreshtha Bharat,https://ekbharat.gov.in/,Dead (404)
227,Art & Culture,Gandhi Smriti and Darshan Samiti (GSDS),https://gandhismriti.gov.in/,Timeout
228,Art & Culture,"Goa State Museum, Goa",https://goamuseum.gov.in/,Working
229,Art & Culture,"Gopal Narayan Public Library, Bharatpura, Bihar",https://www.bharatpuralibrary.org/,Working
230,Art & Culture,"Harekrushna Mahatab State Library, Odisha",https://hkmsl.gov.in/,Connection Failed
231,Art & Culture,"Hindu Religious &amp; Charitable Endowments Department, Tamil Nadu",https://hrce.tn.gov.in/hrcehome/index.php,Working
232,Art & Culture,"Hindu Religious Institutions And Charitable Endowments Department, Karnataka",https://itms.kar.nic.in/hrcehome/index.php,Working
233,Art & Culture,Indian Culture Portal,https://indianculture.gov.in/,Error (403)
234,Art & Culture,"Indian Museum, Kolkata",https://indianmuseumkolkata.org/,Working
235,Art & Culture,Indira Gandhi Rashtriya Manav Sangrahalaya,https://igrms.gov.in/,Connection Failed
236,Art & Culture,(Error: Message: no such element: Unab),(Error),Extraction Error
237,Art & Culture,"Information and Cultural Affairs Department, West Bengal",https://icad.wb.gov.in/,Connection Failed
238,Art & Culture,"Jawahar Kala Kendra, Rajasthan",https://jkk.artandculture.rajasthan.gov.in/,Error (403)
239,Art & Culture,Kala Sanskriti Vikas Yojana Scheme Directory,https://culturescheme.dashboard.nic.in/,Working
240,Art & Culture,"Kannada Development Authority, Karnataka",https://kannadapraadhikaara.karnataka.gov.in/,Working
241,Art & Culture,"Kannada Sahitya Parishat, Karnataka",https://kannadasahithyaparishattu.in/,Working
242,Art & Culture,"Kerala Kalamandalam, Kerala",https://www.kalamandalam.ac.in/,Working
243,Art & Culture,Khuda Bakhsh Oriental Public Library,https://kblibrary.bih.nic.in/,Timeout
244,Art & Culture,"Krishnadas Shama, Goa State Central Library, Panaji, Goa",https://centrallibrary.goa.gov.in/,Connection Failed
245,Art & Culture,"Lalit Kala Akademi, New Delhi",https://lalitkala.gov.in/,Working
246,Art & Culture,"Language Department, Delhi",https://language.delhi.gov.in/,Working
247,Art & Culture,Maha Kumbh Mela 2025,https://kumbh.gov.in/,Connection Failed
248,Art & Culture,"Maharashtra Film, Stage &amp; Cultural Development Corporation Limited, Dadasaheb Phalke Chitranagari, Filmcity, Mumbai, Maharashtra",https://www.filmcitymumbai.org/,Working
249,Art & Culture,Mera Gaon Meri Dharohar,https://mgmd.gov.in/,Working
250,Art & Culture,Meri Maati Mera Desh,https://merimaatimeradesh.gov.in/,Server Error
251,Art & Culture,(Error: Message: no such element: Unab),(Error),Extraction Error
252,Art & Culture,Ministry of Culture,https://culture.gov.in/,Working
253,Art & Culture,Must See Indian Heritage,https://asimustsee.nic.in/,Connection Failed
254,Art & Culture,"NOC Online Application and Processing System, National Monuments Authority",https://nmanoc.gov.in/,Working
255,Art & Culture,National Archives of India,https://nationalarchives.nic.in/,Working
256,Art & Culture,National Council of Science Museums (NCSM),https://ncsm.gov.in/,Working
